model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
ANN,No Sampling,1,0.9478895257946848,0.0,0.0,0.0,0.8362781748213304,0.17325702020498132,inf,19.86369797899988,1819,0,100,0
ANN,No Sampling,2,0.9478895257946848,0.0,0.0,0.0,0.8281858163826278,0.17755678166649283,inf,17.235634933000256,1819,0,100,0
ANN,No Sampling,3,0.9478895257946848,0.0,0.0,0.0,0.8278587135788895,0.19080261569037327,inf,16.493788353000127,1819,0,100,0
ANN,No Sampling,4,0.9478623566214807,0.0,0.0,0.0,0.8255445544554456,0.16600679347465458,inf,16.136899698999514,1818,0,100,0
ANN,No Sampling,5,0.9478623566214807,0.0,0.0,0.0,0.8334543454345434,0.19704096383289865,inf,16.49855532699985,1818,0,100,0
ANN,No Sampling,6,0.9478895257946848,0.0,0.0,0.0,0.8108988455195163,0.1526923101221677,inf,15.626972412999748,1819,0,100,0
ANN,No Sampling,7,0.9478895257946848,0.0,0.0,0.0,0.8512506871907641,0.2651194332595223,inf,16.522241600000598,1819,0,100,0
ANN,No Sampling,8,0.9478895257946848,0.0,0.0,0.0,0.8305332600329851,0.18498485711199558,inf,16.865242072,1819,0,100,0
ANN,No Sampling,9,0.9478623566214807,0.0,0.0,0.0,0.8331380638063807,0.15467631348215824,inf,17.068036788000427,1818,0,100,0
ANN,No Sampling,10,0.9478623566214807,0.0,0.0,0.0,0.8398762376237624,0.197576823058868,inf,15.89181225700031,1818,0,100,0
ANN,No Sampling,11,0.9478895257946848,0.0,0.0,0.0,0.8406871907641562,0.18363862363709674,inf,16.665168468999582,1819,0,100,0
ANN,No Sampling,12,0.9478895257946848,0.0,0.0,0.0,0.8329604178119844,0.2323059298029254,inf,15.613961420000123,1819,0,100,0
ANN,No Sampling,13,0.9478895257946848,0.0,0.0,0.0,0.8337410665200659,0.18393956536921852,inf,15.65293145599935,1819,0,100,0
ANN,No Sampling,14,0.9478623566214807,0.0,0.0,0.0,0.8402090209020902,0.20757649571487136,inf,15.809565740000835,1818,0,100,0
ANN,No Sampling,15,0.9478623566214807,0.0,0.0,0.0,0.8400880088008802,0.1848540371744161,inf,16.309669340000255,1818,0,100,0
ANN,Cost Sensitive,1,0.6565919749869724,0.12483221476510067,0.93,0.22011834319526627,0.8374436503573391,0.18381335923498587,7.010752688172043,16.1237318780004,1167,652,7,93
ANN,Cost Sensitive,2,0.6576341844710787,0.12313937753721245,0.91,0.2169249106078665,0.8243045629466741,0.18754449173909418,7.1208791208791204,17.382229042999825,1171,648,9,91
ANN,Cost Sensitive,3,0.6654507556018759,0.12876712328767123,0.94,0.22650602409638554,0.8341039032435404,0.18612497965732283,6.76595744680851,16.44976514500013,1183,636,6,94
ANN,Cost Sensitive,4,0.678310740354536,0.12590448625180897,0.87,0.21997471554993678,0.8302145214521452,0.16925701614780705,6.942528735632184,15.916972728000474,1214,604,13,87
ANN,Cost Sensitive,5,0.6438998957247133,0.12093628088426528,0.93,0.2140391254315305,0.8387843784378438,0.20673449968778201,7.268817204301075,17.73946316799993,1142,676,7,93
ANN,Cost Sensitive,6,0.6414799374674309,0.11917098445595854,0.92,0.21100917431192662,0.8230428807036834,0.1818637811421548,7.391304347826087,15.774934303999544,1139,680,8,92
ANN,Cost Sensitive,7,0.689421573736321,0.13313609467455623,0.9,0.23195876288659795,0.8560995052226499,0.24268459881477478,6.511111111111111,16.566613573000723,1233,586,10,90
