model,sampler,fold,tn,fp,fn,tp
ANN,No Sampling,1,1819,0,100,0
ANN,No Sampling,2,1819,0,100,0
ANN,No Sampling,3,1819,0,100,0
ANN,No Sampling,4,1818,0,100,0
ANN,No Sampling,5,1818,0,100,0
ANN,No Sampling,6,1819,0,100,0
ANN,No Sampling,7,1819,0,100,0
ANN,No Sampling,8,1819,0,100,0
ANN,No Sampling,9,1818,0,100,0
ANN,No Sampling,10,1818,0,100,0
ANN,No Sampling,11,1819,0,100,0
ANN,No Sampling,12,1819,0,100,0
ANN,No Sampling,13,1819,0,100,0
ANN,No Sampling,14,1818,0,100,0
ANN,No Sampling,15,1818,0,100,0
ANN,Cost Sensitive,1,1167,652,7,93
ANN,Cost Sensitive,2,1171,648,9,91
ANN,Cost Sensitive,3,1183,636,6,94
ANN,Cost Sensitive,4,1214,604,13,87
ANN,Cost Sensitive,5,1142,676,7,93
ANN,Cost Sensitive,6,1139,680,8,92
ANN,Cost Sensitive,7,1233,586,10,90
ANN,Cost Sensitive,8,1175,644,10,90
ANN,Cost Sensitive,9,1160,658,4,96
ANN,Cost Sensitive,10,1271,547,16,84
ANN,Cost Sensitive,11,1143,676,4,96
ANN,Cost Sensitive,12,1157,662,12,88
ANN,Cost Sensitive,13,1209,610,8,92
ANN,Cost Sensitive,14,1167,651,4,96
ANN,Cost Sensitive,15,1214,604,10,90
ANN,RandomOverSampler,1,1272,547,10,90
ANN,RandomOverSampler,2,1334,485,25,75
ANN,RandomOverSampler,3,1245,574,18,82
ANN,RandomOverSampler,4,1287,531,21,79
ANN,RandomOverSampler,5,1254,564,19,81
ANN,RandomOverSampler,6,1203,616,17,83
ANN,RandomOverSampler,7,1231,588,14,86
ANN,RandomOverSampler,8,1298,521,23,77
ANN,RandomOverSampler,9,1324,494,19,81
ANN,RandomOverSampler,10,1281,537,26,74
ANN,RandomOverSampler,11,1276,543,18,82
ANN,RandomOverSampler,12,1221,598,18,82
ANN,RandomOverSampler,13,1306,513,22,78
ANN,RandomOverSampler,14,1289,529,19,81
ANN,RandomOverSampler,15,1292,526,20,80
ANN,SMOTE,1,1322,497,19,81
ANN,SMOTE,2,1395,424,35,65
ANN,SMOTE,3,1353,466,30,70
ANN,SMOTE,4,1312,506,30,70
ANN,SMOTE,5,1348,470,36,64
ANN,SMOTE,6,1310,509,26,74
ANN,SMOTE,7,1345,474,25,75
ANN,SMOTE,8,1372,447,26,74
ANN,SMOTE,9,1322,496,29,71
ANN,SMOTE,10,1374,444,35,65
ANN,SMOTE,11,1342,477,32,68
ANN,SMOTE,12,1312,507,30,70
ANN,SMOTE,13,1384,435,28,72
ANN,SMOTE,14,1317,501,27,73
ANN,SMOTE,15,1350,468,27,73
ANN,ADASYN,1,1340,479,20,80
ANN,ADASYN,2,1344,475,34,66
ANN,ADASYN,3,1347,472,32,68
ANN,ADASYN,4,1314,504,30,70
ANN,ADASYN,5,1269,549,26,74
ANN,ADASYN,6,1366,453,32,68
ANN,ADASYN,7,1347,472,23,77
ANN,ADASYN,8,1351,468,29,71
ANN,ADASYN,9,1279,539,22,78
ANN,ADASYN,10,1380,438,31,69
ANN,ADASYN,11,1354,465,31,69
ANN,ADASYN,12,1339,480,31,69
ANN,ADASYN,13,1368,451,30,70
ANN,ADASYN,14,1380,438,28,72
ANN,ADASYN,15,1350,468,26,74
ANN,BorderlineSMOTE,1,1444,375,29,71
ANN,BorderlineSMOTE,2,1409,410,48,52
ANN,BorderlineSMOTE,3,1435,384,37,63
ANN,BorderlineSMOTE,4,1437,381,41,59
ANN,BorderlineSMOTE,5,1434,384,40,60
ANN,BorderlineSMOTE,6,1371,448,35,65
ANN,BorderlineSMOTE,7,1428,391,28,72
ANN,BorderlineSMOTE,8,1444,375,36,64
ANN,BorderlineSMOTE,9,1415,403,31,69
ANN,BorderlineSMOTE,10,1488,330,46,54
ANN,BorderlineSMOTE,11,1451,368,48,52
ANN,BorderlineSMOTE,12,1371,448,34,66
ANN,BorderlineSMOTE,13,1465,354,40,60
ANN,BorderlineSMOTE,14,1485,333,46,54
ANN,BorderlineSMOTE,15,1419,399,29,71
ANN,RandomUnderSampler,1,1161,658,5,95
ANN,RandomUnderSampler,2,1156,663,8,92
ANN,RandomUnderSampler,3,1200,619,8,92
ANN,RandomUnderSampler,4,1185,633,12,88
ANN,RandomUnderSampler,5,1149,669,8,92
ANN,RandomUnderSampler,6,1128,691,9,91
ANN,RandomUnderSampler,7,1193,626,9,91
ANN,RandomUnderSampler,8,1201,618,11,89
ANN,RandomUnderSampler,9,1170,648,5,95
ANN,RandomUnderSampler,10,1249,569,10,90
ANN,RandomUnderSampler,11,1146,673,5,95
ANN,RandomUnderSampler,12,1130,689,8,92
ANN,RandomUnderSampler,13,1226,593,11,89
ANN,RandomUnderSampler,14,1165,653,8,92
