model,sampler,fold,tn,fp,fn,tp
ANN,No Sampling,1,138,12,31,19
ANN,No Sampling,2,142,8,31,19
ANN,No Sampling,3,133,18,26,23
ANN,No Sampling,4,142,9,24,25
ANN,No Sampling,5,134,17,14,35
ANN,No Sampling,6,142,8,25,25
ANN,No Sampling,7,134,16,22,28
ANN,No Sampling,8,138,13,19,30
ANN,No Sampling,9,136,15,27,22
ANN,No Sampling,10,141,10,31,18
ANN,No Sampling,11,133,17,25,25
ANN,No Sampling,12,139,11,21,29
ANN,No Sampling,13,140,11,19,30
ANN,No Sampling,14,139,12,29,20
ANN,No Sampling,15,143,8,27,22
ANN,Cost Sensitive,1,132,18,28,22
ANN,Cost Sensitive,2,140,10,27,23
ANN,Cost Sensitive,3,121,30,19,30
ANN,Cost Sensitive,4,139,12,22,27
ANN,Cost Sensitive,5,125,26,13,36
ANN,Cost Sensitive,6,130,20,17,33
ANN,Cost Sensitive,7,131,19,17,33
ANN,Cost Sensitive,8,134,17,14,35
ANN,Cost Sensitive,9,134,17,19,30
ANN,Cost Sensitive,10,133,18,23,26
ANN,Cost Sensitive,11,124,26,14,36
ANN,Cost Sensitive,12,130,20,18,32
ANN,Cost Sensitive,13,137,14,19,30
ANN,Cost Sensitive,14,134,17,23,26
ANN,Cost Sensitive,15,137,14,26,23
ANN,RandomOverSampler,1,135,15,33,17
ANN,RandomOverSampler,2,137,13,28,22
ANN,RandomOverSampler,3,130,21,24,25
ANN,RandomOverSampler,4,134,17,20,29
ANN,RandomOverSampler,5,127,24,19,30
ANN,RandomOverSampler,6,135,15,22,28
ANN,RandomOverSampler,7,133,17,21,29
ANN,RandomOverSampler,8,135,16,25,24
ANN,RandomOverSampler,9,129,22,16,33
ANN,RandomOverSampler,10,138,13,25,24
ANN,RandomOverSampler,11,124,26,21,29
ANN,RandomOverSampler,12,135,15,19,31
ANN,RandomOverSampler,13,133,18,19,30
ANN,RandomOverSampler,14,138,13,23,26
ANN,RandomOverSampler,15,132,19,23,26
ANN,SMOTE,1,136,14,31,19
ANN,SMOTE,2,141,9,24,26
ANN,SMOTE,3,131,20,25,24
ANN,SMOTE,4,131,20,20,29
ANN,SMOTE,5,128,23,18,31
ANN,SMOTE,6,134,16,24,26
ANN,SMOTE,7,135,15,22,28
ANN,SMOTE,8,136,15,23,26
ANN,SMOTE,9,129,22,17,32
ANN,SMOTE,10,142,9,32,17
ANN,SMOTE,11,126,24,18,32
ANN,SMOTE,12,137,13,21,29
ANN,SMOTE,13,131,20,17,32
ANN,SMOTE,14,139,12,22,27
ANN,SMOTE,15,134,17,24,25
ANN,ADASYN,1,130,20,29,21
ANN,ADASYN,2,147,3,39,11
ANN,ADASYN,3,132,19,26,23
ANN,ADASYN,4,136,15,28,21
ANN,ADASYN,5,136,15,27,22
ANN,ADASYN,6,136,14,23,27
ANN,ADASYN,7,142,8,28,22
ANN,ADASYN,8,138,13,26,23
ANN,ADASYN,9,130,21,17,32
ANN,ADASYN,10,138,13,28,21
